T17	Labour force participation and unemployment					
Region_Country/Area		Year	Serias	Value	Foodnotes	Source
17,00	Middle Africa	2023	Unemployment rate - Female	06. Mrz	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
18,00	Southern Africa	2005	Labour force participation - Total	60.0	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
18,00	Southern Africa	2005	Unemployment rate - Total	19. Aug	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
18,00	Southern Africa	2005	Labour force participation - Male	68.5	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
18,00	Southern Africa	2005	Unemployment rate - Male	17. Aug	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
18,00	Southern Africa	2005	Labour force participation - Female	52.5	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
18,00	Southern Africa	2005	Unemployment rate - Female	22. Jan	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
18,00	Southern Africa	2010	Labour force participation - Total	54.8	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
18,00	Southern Africa	2010	Unemployment rate - Total	22. Aug	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
18,00	Southern Africa	2010	Labour force participation - Male	62.7	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
18,00	Southern Africa	2010	Unemployment rate - Male	21. Feb	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
18,00	Southern Africa	2010	Labour force participation - Female	47.7	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
18,00	Southern Africa	2010	Unemployment rate - Female	24. Jun	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
18,00	Southern Africa	2015	Labour force participation - Total	58.0	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
18,00	Southern Africa	2015	Unemployment rate - Total	22. Mai	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
18,00	Southern Africa	2015	Labour force participation - Male	65.3	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
18,00	Southern Africa	2015	Unemployment rate - Male	20. Aug	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
18,00	Southern Africa	2015	Labour force participation - Female	51.5	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
18,00	Southern Africa	2015	Unemployment rate - Female	24. Mai	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
18,00	Southern Africa	2023	Labour force participation - Total	58.4	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
18,00	Southern Africa	2023	Unemployment rate - Total	28. Aug	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
18,00	Southern Africa	2023	Labour force participation - Male	64.9	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
18,00	Southern Africa	2023	Unemployment rate - Male	27. Mrz	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
18,00	Southern Africa	2023	Labour force participation - Female	52.5	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
18,00	Southern Africa	2023	Unemployment rate - Female	30. Mai	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
11,00	Western Africa	2005	Labour force participation - Total	63.8	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
11,00	Western Africa	2005	Unemployment rate - Total	04. Jan	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
11,00	Western Africa	2005	Labour force participation - Male	69.7	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
11,00	Western Africa	2005	Unemployment rate - Male	04. Jan	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
11,00	Western Africa	2005	Labour force participation - Female	57.9	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
11,00	Western Africa	2005	Unemployment rate - Female	04. Jan	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
11,00	Western Africa	2010	Labour force participation - Total	63.3	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
11,00	Western Africa	2010	Unemployment rate - Total	4.0	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
11,00	Western Africa	2010	Labour force participation - Male	69.2	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
11,00	Western Africa	2010	Unemployment rate - Male	03. Sep	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
11,00	Western Africa	2010	Labour force participation - Female	57.4	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
11,00	Western Africa	2010	Unemployment rate - Female	04. Jan	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
11,00	Western Africa	2015	Labour force participation - Total	60.2	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
11,00	Western Africa	2015	Unemployment rate - Total	4.0	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
11,00	Western Africa	2015	Labour force participation - Male	66.4	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
11,00	Western Africa	2015	Unemployment rate - Male	04. Jan	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
11,00	Western Africa	2015	Labour force participation - Female	54.0	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
11,00	Western Africa	2015	Unemployment rate - Female	03. Sep	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
11,00	Western Africa	2023	Labour force participation - Total	0.00061.2	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
11,00	Western Africa	2023	Unemployment rate - Total	04. Jun	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
11,00	Western Africa	2023	Labour force participation - Male	6800.6	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
11,00	Western Africa	2023	Unemployment rate - Male	04. Jun	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
11,00	Western Africa	2023	Labour force participation - Female	53.9	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
11,00	Western Africa	2023	Unemployment rate - Female	04. Mai	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
19,00	Americas	2005	Labour force participation - Total	64.4	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
19,00	Americas	2005	Unemployment rate - Total	07. Jan	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
19,00	Americas	2005	Labour force participation - Male	75.7	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
19,00	Americas	2005	Unemployment rate - Male	06. Feb	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
19,00	Americas	2005	Labour force participation - Female	53.6	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
19,00	Americas	2005	Unemployment rate - Female	08. Mrz	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
19,00	Americas	2010	Labour force participation - Total	63.7	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
